timestamp,rssi,lqi,throughput
0,-75.5685,107.49,21869.3
15,-75.7616,107.445,21149.6
30,-77.1507,107.373,21166.8
45,-78.4295,107.407,20532.6
60,-81.6538,106.902,22004.6
75,-89.1422,99.7192,18937.3
90,-93.8743,86.8064,15612.6
105,-94.5469,83.5828,12064.8
120,-95.105,77.1643,11503.2
135,-95.4118,76.3529,2400.0
150,-95.4286,81.4286,28800.0
225,-95.7631,73.1283,7396.36
240,-93.855,87.0873,11979.9
255,-91.2813,98.1874,14149.2
270,-84.8678,105.23,19912.1
285,-81.6815,106.81,21162.9
300,-79.184,107.242,21879.6
315,-79.1088,107.171,21126.6
330,-78.5204,107.269,21284.1
345,-77.8944,107.382,22274.3
